province;red;green;blue;x;x
842;84;183;21;Beaujolais;x
843;126;186;149;Toussaint;x
844;168;189;22;Bastonne;x
845;0;192;150;Foucault;x
846;42;195;23;Gastix;x
847;84;198;151;Chalons;x
848;0;3;225;Gamay;x
849;126;201;24;Galisson;x
850;168;96;42;Lorsace;x
851;84;9;226;Tura;x
852;85;84;11;Beaix;x
853;127;87;139;Roderre;x
854;169;90;12;Drachenberg;x
855;126;135;84;Montfort;x
856;168;138;212;Vignoble;x
857;0;141;85;Elbiq;x
858;42;144;213;Anjarlac;x
859;84;147;86;Rennaille;x
860;126;150;214;Epee;x
861;168;153;87;Aquitaine;x
862;0;156;215;Angour;x
863;42;159;88;Lusidreux;x
864;84;162;216;Querigord;x
865;126;165;89;Brionne;x
866;168;168;217;Gransette;x
867;0;171;90;Muret;x
868;42;174;218;Enjolras;x
869;84;177;91;Gironde;x
870;126;180;219;Armanie;x
871;168;183;92;Cuileux;x
872;0;186;220;Pompadour;x
873;42;189;93;Chinon;x
874;84;192;221;Treims;x
875;126;195;94;Blarry;x
876;168;198;222;Bourgou;x
877;0;201;95;Giennois;x
878;42;204;223;La Mancon;x
879;84;207;96;Orlerre;x
880;126;210;224;Meaux;x
881;168;0;97;Roucerre;x
882;168;123;82;Langry;x
883;126;120;209;Perrache;x
884;126;3;154;Quenelles;x
885;84;117;81;Helmgart;x
886;168;15;227;Parravon;x
887;1;18;0;Beaumont;x
888;43;21;128;Fume;x
889;85;24;1;Grey Lady Pass;x
890;127;27;129;Karak Azgaraz;x
891;169;30;2;Brabillon;x
892;1;33;130;Servillon;x
893;43;36;3;Aix;x
894;43;96;13;Carcassonne;x
895;127;42;4;Brussergue;x
896;169;45;132;Embrun;x
897;1;48;5;Forac;x
898;43;51;133;Sammergall;x
899;1;93;140;Marguilles;x
900;127;57;134;Charboneau;x
901;169;60;7;Naverre;x
902;1;63;135;Foivaux;x
903;43;66;8;Morency;x
904;85;69;136;Tasselonne;x
905;127;72;9;Paillole;x
906;169;75;137;Blood Keep;x
907;1;78;10;Upper Vale of Florida;x
908;84;132;211;Lower Vale of Florida;x
909;0;126;210;Saar;x
910;42;129;83;Gruyon;x
911;0;207;25;Dornhan;x
912;84;10;26;Valoigne;x
913;126;48;134;Gap of Bergbres;x
914;84;145;161;Gisoreux Gap;x
915;85;39;131;Loren Pass;x
916;126;105;99;Califerne;x
917;42;199;78;L'ile Tranquille;x
918;127;144;184;Caprezi;x
919;169;147;57;Santa Clair;x
920;1;150;185;Isla Vega;x
921;43;153;58;Montanoza;x
922;85;156;186;Isla Colina;x
923;127;159;59;Isla Corazon;x
924;169;162;187;Isla d'Azure;x
925;127;30;99;Fays;x
926;85;174;26;Umbresco;x
927;2;36;0;Nucca;x
928;44;39;128;Helgala;x
929;127;0;94;Hundsheimerwald;x
930;128;45;129;Zherden;x
931;170;48;2;Stimmigen;x
932;145;80;98;Kappelburg;x
933;106;58;146;Auld Ryding;x
934;85;210;221;Heideck;x
935;128;60;4;Eilhart;x
936;170;63;132;Vlakland;x
937;1;6;95;Noordmuur;x
938;44;69;133;Garamont;x
939;86;72;6;Sangasse;x
940;128;75;134;Outremer;x
941;170;78;7;Voronino;x
942;2;81;135;Zvyagino;x
943;2;84;50;Yarak;x
944;44;87;178;Dzugd;x
945;86;90;51;Sakhur;x
946;128;93;179;Alashah;x
947;170;96;52;Arguun;x
948;2;99;180;Zavkhan;x
949;44;102;53;Malchin;x
950;86;105;181;Mokhsogollokh;x
951;128;108;54;Turukhan;x
952;170;111;182;Jomal;x
953;2;114;55;Dvinar;x
955;86;120;56;Pontecorvo;x
956;128;123;184;Baildughan;x
957;73;200;118;Jaegerwald;x
958;159;68;94;Ertburg;x
959;145;52;78;Gruenwald;x
993;85;15;211;Tripolana;x
1021;1;99;225;Fyrus;x
1042;85;72;156;Tirzor;x
1043;127;75;29;Chayuek;x
1076;43;33;38;Eragol Bardum;x
1077;85;36;166;Chade;x
1078;127;39;39;Soddus;x
1079;169;42;167;Karak-a-Dumril;x
1080;1;45;40;Uzzintir;x
1081;43;48;168;Ungor-Bar-Indur;x
1082;85;51;41;Undrivar-Bar;x
1083;127;54;169;Khazalid Dorn;x
1084;169;57;42;Landrin-a-Klan;x
1085;1;60;170;Karak Razala;x
1086;43;63;43;Korgrim;x
1087;85;66;171;Kladdin;x
1088;127;69;44;Mindas Ungor;x
1089;169;72;172;Zhufstrom;x
1090;1;75;45;Ingikvar;x
1091;43;78;173;Jorzium;x
1092;85;81;46;Karak Kadal;x
1093;127;84;174;Kadar Khazalid;x
1094;169;87;47;Karag Krom;x
1095;1;90;175;Ungik;x
1096;43;93;48;Balog Ungor;x
1097;85;96;176;Barogrik;x
1098;127;99;49;Karag Homrar;x
1099;169;102;177;Brondik;x
1100;1;105;50;Kurgaz Grungon;x
1101;43;108;178;Khadiz Dorn;x
1102;85;111;51;Kazad Belegar;x
1103;127;114;179;Grung Dwor;x
1104;169;117;52;Grongol Norn;x
1105;1;120;180;Karak Dum;x
1106;43;123;53;Skraklaz Ungor;x
1107;85;126;181;Kolaz Ungor;x
1108;127;129;54;Karag Dar;x
1109;169;132;182;Khazid Nekewukaz;x
1110;1;135;55;Stromez Zorn;x
1111;43;138;183;Karag Grim;x
1112;85;141;56;Urdivan;x
1167;85;93;211;Viksjoergsberg;x
1168;127;96;84;Bjarkavig;x
1169;169;99;212;Bragnir;x
1170;1;102;85;Varaland;x
1171;43;105;213;Zandt;x
1172;85;108;86;Hyttafjord;x
1173;127;111;214;Skorlm;x
1174;169;114;87;Krakav;x
1175;1;117;215;Halkild;x
1176;43;120;88;Dira;x
1177;85;123;216;Askola;x
1178;127;126;89;Suyab;x
1179;169;129;217;Balasaqun;x
1180;1;132;90;Kharakit;x
1181;43;135;218;Pishpek;x
1182;85;138;91;Frunz;x
1183;127;141;219;Oluod;x
1184;169;144;92;Norisk;x
1185;1;147;220;Khakatass;x
1186;43;150;93;Yarsk;x
1187;85;153;221;Angara;x
1188;127;156;94;Nuur;x
1189;169;159;222;Tuva;x
1190;1;162;95;Abak;x
1191;43;165;223;Suleng;x
1192;85;168;96;Tatarum;x
1193;127;171;224;Barabas;x
1194;169;174;97;Sybyr;x
1195;1;177;225;Saget;x
1196;43;180;98;Carsuri;x
1197;85;183;226;Miluks;x
1198;127;186;99;Komri;x
1200;1;192;0;Kuldevind Islands;x
1201;43;195;128;Uvs;x
1202;85;198;1;Tarim;x
1203;127;201;129;Khovd;x
1204;169;204;2;Baatar;x
1205;1;207;130;Yucho;x
1206;43;210;3;Uromqi;x
1207;85;0;131;Khotaan;x
1208;127;3;4;Ket;x
1209;169;6;132;Bagstay;x
1210;1;9;5;Nivk;x
1211;43;12;133;Tiel;x
1212;85;15;6;Nerchin;x
1213;127;18;134;Bortaala;x
1214;169;21;7;Aral;x
1215;1;24;135;Yupyk;x
1216;43;27;8;Torpan;x
1217;85;30;136;Zanur;x
1218;127;33;9;Karmay;x
1219;169;36;137;Miryr;x
1220;1;39;10;Sakar;x
1221;43;42;138;Khamchata;x
1222;85;45;11;Chamsyts;x
1223;127;48;139;Mesch;x
1224;169;51;12;Mador;x
1225;1;54;140;Votioi;x
1226;43;57;13;Anaol;x
1227;85;60;141;Ninyt;x
1228;127;63;14;Eiigin;x
1229;169;66;142;Magad;x
1230;1;69;15;Kamas;x
1231;43;72;143;Kolim;x
1232;85;75;16;Issikul;x
1233;127;78;144;Krygz;x
1234;169;81;17;Yurgh;x
1235;1;84;145;Ents;x
1236;43;87;18;Olkoron;x
1237;85;90;146;Yakhdoi;x
1238;127;93;19;Bakal;x
1239;169;96;147;Kurshun;x
1240;1;99;20;Ganibek;x
1241;43;102;148;Ailish;x
1242;43;117;23;Zetisu;x
1243;85;120;151;Rataumyr;x
1244;127;123;24;Azkaroth;x
1245;169;126;152;Tohkar;x
1246;1;129;25;Krasnodar;x
1247;43;132;153;Kropot;x
1248;85;135;26;Zapad;x
1249;85;105;21;Ugar;x
1250;127;108;149;Hattran;x
1251;169;111;22;Baalbek;x
1252;1;114;150;Targhizizi;x
1253;127;138;154;Gorgoth;x
1254;169;141;27;Kur;x
1255;1;144;155;Murlech;x
1256;43;147;28;Anat;x
1257;85;150;156;Larza;x
1258;127;153;29;Chalde;x
1259;169;156;157;Carchemish;x
1260;1;159;30;Tibiria;x
1261;43;162;158;Anu;x
1262;85;165;31;Inanna;x
1263;127;168;159;Isin;x
1264;169;171;32;Urmia;x
1265;1;174;160;Daro;x
1266;43;177;33;Helgrind;x
1267;85;180;161;Tamarkrupa;x
1268;127;183;34;Vortrium;x
1269;169;186;162;Eidelwiss;x
1270;1;189;35;Groetchen;x
1271;43;192;163;Hinterland;x
1272;85;195;36;Daemon's Stump;x
1273;127;198;164;Black Fortress;x
1274;169;201;37;Pigbarter;x
1275;1;204;165;Char;x
1276;43;207;38;Desolace;x
1277;85;210;166;Grey Waste;x
1278;127;0;39;Skarbrand;x
1279;169;3;167;Inred;x
1280;1;6;40;Kurshu;x
1281;43;9;168;Ember;x
1282;85;12;41;Ashenmount;x
1283;127;15;169;Karak Vrag;x
1284;169;18;42;Turgran;x
1285;1;21;170;Ashrift;x
1286;43;24;43;Karak Ekslagar;x
1287;85;27;171;Karag Gorim;x
1288;127;30;44;Karaz Hashuti;x
1289;169;33;172;Stonehol;x
1290;1;36;45;Azgrimar;x
1291;43;39;173;Karak Zharr;x
1292;85;42;46;Ruadrin;x
1293;127;45;174;Sulfuras;x
1294;169;48;47;Orgris;x
1295;1;51;175;Perik;x
1296;43;54;48;Ombra;x
1297;85;57;176;Ankarath;x
1298;127;60;49;Ghulakth;x
1299;169;63;177;Darkhold;x
1300;1;66;50;Thaurizon;x
1301;43;69;178;Mizpal Ungor;x
1302;85;72;51;Gorlabar;x
1303;127;75;179;Nath Agra;x
1304;169;78;52;Gaz Orrud;x
1305;1;81;180;Cabal;x
1306;43;84;53;Saspire;x
1307;85;87;181;Gherra;x
1308;127;90;54;Chandak;x
1309;169;93;182;Nakta;x
1310;1;96;55;Rhazgala;x
1311;43;99;183;Zinir;x
1312;85;102;56;Ilkatuktak;x
1313;127;105;184;Arum;x
1314;169;108;57;Jong-On;x
1315;1;111;185;Rodmarin;x
1317;85;117;186;Geringwald;x
1318;127;120;59;Aussenstadt;x
1319;1;99;75;Gringril;x
1320;43;102;203;Karag Ril;x
1321;85;105;76;Tromriki;x
1322;127;108;204;Ikizir;x
1323;169;111;77;Karak Palik;x
1324;1;114;205;Khazgoruz;x
1325;43;117;78;Grimaz Batol;x
1326;85;120;206;Karaz-Lumbar;x
1327;127;123;79;Kazad Kol;x
1328;169;126;207;Kazad Ghulg;x
1329;1;129;80;Kazad Klad;x
1330;43;132;208;Karak Grong;x
1331;85;135;81;Karag Garaz;x
1332;127;138;209;Khaz Bryn;x
1333;169;141;82;Lichtungsmarkt;x
1489;194;128;155;Karak Hafak;x
1490;222;112;100;Khazid Svarkungor;x
1491;143;182;225;Khazid Aldum;x
1820;169;84;37;Cold Mire #2;x
1821;1;87;165;Coast of Bretonnia;x
1826;1;102;40;Coast of Tilea;x
1827;43;105;168;River Sannez #2;x
1831;1;117;170;River Brienne #3;x
1832;43;120;43;River Rugavalk;x
1834;127;126;44;River Starnek #4;x
1835;169;129;172;Drakfljot;x
1836;1;132;45;River Grismerie;x
1837;43;135;173;River Grismerie #2;x
1838;85;138;46;River Brienne #4;x
1839;127;141;174;River Sannez #3;x
1840;169;144;47;River Lynsk;x
1841;1;147;175;River Reik #4;x
1842;43;150;48;River Bogen;x
1843;85;153;176;River Talabec;x
1844;127;156;49;River Talabec #4;x
1845;169;159;177;River Reik #5;x
1846;1;162;50;River Reik #6;x
1847;43;165;178;River Reik #7;x
1848;85;168;51;River Stir #5;x
1849;127;171;179;River Reik #8;x
1850;169;174;52;River Aver;x
1851;1;177;180;River Reik #9;x
1852;43;180;53;River Aver #2;x
1853;85;183;181;Marshes of Madness;x
1854;127;186;54;Rime;x
1855;169;189;182;Frozen Maw;x
1856;1;192;55;Angara;x
1857;84;30;31;The Thawed Bay;x
1858;85;54;6;The Thawed Bay #2;x
1859;84;165;181;Fjelljerford;x
1860;168;186;57;Draksfjord;x
1861;0;189;185;The White Sea;x
1862;42;192;58;The Frozen Shore;x
1863;84;195;186;The Frozen Shore #2;x
1864;126;198;59;The Frozen Shore #3;x
1865;168;201;187;The Frozen Shore #4;x
1866;0;204;60;The Frozen Shore #5;x
1867;42;207;188;The Frozen Shore #6;x
1869;126;0;189;The Frozen Shore #7;x
1870;168;3;62;The Frozen Shore #8;x
1871;0;6;190;Kuldevind Sea;x
1872;42;9;63;The White Sea #2;x
1873;84;12;191;The White Sea #3;x
1874;126;15;64;Kraken Sea;x
1875;168;18;192;Kraken Sea #2;x
1876;0;21;65;Kraken Sea #3;x
1878;84;27;66;Sea of Chaos;x
1879;126;30;194;Sea of Chaos #2;x
1882;42;39;68;Sea of Chaos #3;x
1885;168;48;197;River Grismerie #3;x
1886;0;51;70;River Starnek #5;x
1887;42;54;198;River Morceaux #2;x
1888;0;54;35;River Zapadryeka;x
1889;42;18;3;The Frozen Shore #9;x
1890;168;63;72;The Frozen Shore #10;x
1891;0;66;200;Great Ocean;x
1892;42;69;73;Coast of Norsca;x
1893;84;72;201;Coast of Norsca #2;x
1894;126;75;74;Taldursfjord;x
1895;168;78;202;Coast of Norsca #3;x
1896;0;81;75;Coast of Norsca #4;x
1897;42;84;203;Nordlig;x
1898;0;96;205;Nordlig #2;x
1899;84;180;56;Teeth of the Kraken;x
1900;126;183;184;Coast of Norsca #5;x
1901;126;33;159;Coast of Norsca #6;x
1902;84;15;156;Vestligkyst;x
1904;42;132;48;Vestligkyst #2;x
1905;84;135;176;Coast of Norsca #7;x
1907;168;141;177;Taaketskog;x
1908;0;144;50;Coast of Norsca #8;x
1909;42;147;178;Bay of Fins;x
1910;84;150;51;Soerligslette;x
1911;126;153;179;Gulf of the Maelstrom;x
1912;168;156;52;Taaketskog #2;x
1913;0;159;180;Sea of Claws;x
1915;84;87;76;Starivoda Bay;x
1916;168;21;157;Drosselspule Bay;x
1918;168;108;207;Mannan's Teeth;x
1919;126;78;39;Sea of Claws #2;x
1920;42;27;158;Wrecker's Point;x
1921;126;168;54;Manaanspoort Sea;x
1922;42;210;153;Reaver's Point;x
1923;168;36;32;Coast of Bretonnia #2;x
1924;0;39;160;Coast of Bretonnia #3;x
1925;0;111;80;The Dragon's Maw;x
1926;42;12;28;Middle Sea;x
1927;0;9;155;Middle Sea #2;x
1928;168;51;162;Coast of Bretonnia #4;x
1929;42;114;208;Coast of Bretonnia #5;x
1930;42;57;163;Coast of Bretonnia #6;x
1931;84;60;36;Coast of Bretonnia #7;x
1932;126;63;164;Golfe du Bidouze;x
1933;168;66;37;River Niveau;x
1934;0;69;165;Coast of Estalia;x
1936;84;75;166;Coast of Estalia #2;x
1937;42;6;98;Great Ocean #2;x
1938;168;81;167;Finterra;x
1939;0;84;40;Great Ocean #3;x
1940;42;87;168;Great Ocean #4;x
1941;84;90;41;Great Ocean #5;x
1942;126;93;169;Great Ocean #6;x
1943;126;12;99;Coast of Estalia #3;x
1944;0;99;170;Great Ocean #7;x
1945;42;102;43;Finterra #2;x
1946;84;105;171;Coast of Estalia #4;x
1947;126;108;44;Great Ocean #8;x
1948;168;111;172;Coast of Estalia #5;x
1949;0;114;45;Bay of Quietude;x
1951;84;120;46;Fool's Point;x
1953;168;126;47;Siren Sea;x
1954;0;129;175;Gulf of Fodore;x
1955;168;6;27;Gulf of Miragliono;x
1956;126;18;29;Litoral Sur;x
1957;42;42;33;Coast of Tilea #2;x
1958;84;57;71;Coast of Tilea #3;x
1959;126;60;199;Tilean Sea;x
1960;0;24;30;Coast of Tilea #4;x
1961;42;177;183;Pirate's Current;x
1962;0;174;55;Tilean Sea #2;x
1963;86;87;136;Coast of Sartosa;x
1965;170;93;137;Coast of Sartosa #2;x
1966;2;96;10;Coast of Sartosa #3;x
1967;44;99;138;Capo Cino;x
1968;86;102;11;Pirate's Current #2;x
1969;128;105;139;Bay of Wrecks;x
1970;170;108;12;Lagoon of Tears;x
1974;128;120;14;Sea of Chaos #4;x
1975;170;123;142;Sea of Chaos #5;x
1976;2;126;15;The Frozen Shore #11;x
1977;44;129;143;Drakfljot #2;x
1978;86;132;16;River Talebec;x
1983;86;147;146;Black Water;x
1984;128;150;19;River Stir #6;x
1985;170;153;147;River Reik #10;x
1986;2;156;20;River Reik #11;x
1987;44;159;148;River Talabec #5;x
1988;86;162;21;River Reik #12;x
1989;128;165;149;Lagoon of Tears #2;x
1990;170;168;22;The Black Gulf;x
1991;2;171;150;The Black Gulf #2;x
1992;44;174;23;The Black Gulf #3;x
1993;86;177;151;Tona Dante;x
1994;128;180;24;The Black Gulf #4;x
1995;170;183;152;The Black Gulf #5;x
1996;2;186;25;The Black Gulf #6;x
1997;44;189;153;The Black Gulf #7;x
1998;86;192;26;The Black Gulf #8;x
1999;128;195;154;Litoral Sur #2;x
2001;2;201;155;Siren Sea #2;x
2003;86;207;156;Siren Sea #3;x
2005;170;0;157;Southern Sea;x
2010;170;15;32;Sea of Chaos #6;x
2014;128;27;34;Sea of Claws #3;x
2020;170;45;37;Siren Sea #4;x
2033;86;84;171;Southern Sea #2;x
2034;128;87;44;Southern Sea #3;x
2035;170;90;172;Southern Sea #4;x
2036;2;93;45;Southern Sea #5;x
2037;44;96;173;Blood River;x
2039;128;102;174;Southern Sea #6;x
2040;170;105;47;Coast of Estalia #6;x
2041;2;108;175;Southern Sea #7;x
2042;44;111;48;Great Ocean #9;x
2043;86;114;176;Great Ocean #10;x
2044;128;117;49;Middle Sea #3;x
2045;170;120;177;Litoral Sur #3;x
2046;2;123;50;River Lynsk #2;x
2047;44;126;178;Great Ocean #11;x
2048;86;129;51;River Talebec #2;x
2049;128;132;179;River Rugavalk #2;x
2050;170;135;52;River Rugavalk #3;x
2051;2;138;180;Iisgalt #2;x
2052;44;141;53;Halkild #2;x
2053;86;144;181;Lake Ladogash;x
2054;128;147;54;Zorn Uzkul;x
2055;170;150;182;Zorn Uzkul #2;x
2056;2;153;55;River Brienne #5;x
2057;44;156;183;River Brienne #6;x
2058;86;159;56;River Grismerie #4;x
2059;128;162;184;River Grismerie #5;x
2060;170;165;57;River Sannez #4;x
2061;2;168;185;River Lynsk #3;x
2062;44;171;58;River Lynsk #4;x
2063;169;27;92;River Ruin;x
2064;1;30;220;River Ruin #2;x
2065;43;33;93;River Ruin #3;x
2066;85;36;221;River Ruin #4;x
2067;127;39;94;River Ruin #5;x
2068;169;42;222;River Ruin #6;x
2069;1;45;95;River Ruin #7;x
2070;43;48;223;River Ruin #8;x
2071;85;51;96;River Ruin #9;x
2072;127;54;224;River Ruin #10;x
2073;169;57;97;Sour Sea;x
2074;1;60;225;River Ruin #11;x
2075;43;63;98;River Ruin #12;x
2076;85;66;226;River Ruin #13;x
2077;127;69;99;River Ruin #14;x
2096;85;126;136;South Lynsk;x
2099;1;135;10;Sea of Chaos #7;x
2103;169;147;12;River Riati;x
2104;1;150;140;River Riati #2;x
2105;43;153;13;River Riati #3;x
2122;127;204;149;Sea of Storms;x
2123;169;207;22;Sea of Storms #2;x
2124;1;210;150;Sea of Storms #3;x
2125;43;0;23;Sea of Storms #4;x
2131;85;18;26;Scalding Delta #2;x
2132;127;21;154;River Ruin #15;x
2138;170;102;37;River Ruin #16;x
2139;2;105;165;River Ruin #17;x
2148;169;69;162;Lizard Sea;x
2149;1;72;35;Lizard Sea #2;x
2150;43;75;163;Sea of Storms #5;x
2151;85;78;36;Lizard Sea #3;x
2152;127;81;164;Lizard Sea #4;x
2157;86;111;166;River Zapadryeka #2;x
2164;2;183;15;Corsair Strand;x
2169;2;198;145;Corsair Strand #2;x
2244;170;129;22;River Stir;x
2245;2;132;150;River Stir #2;x
2246;44;135;23;River Stir #3;x
2247;86;138;151;River Stir #4;x
2248;128;141;24;River Aver #3;x
2249;170;144;152;River Aver #4;x
2250;2;147;25;River Soll;x
2251;44;150;153;River Reik;x
2252;86;153;26;River Reik #2;x
2253;128;156;154;River Reik #3;x
2254;170;159;27;River Urskoy;x
2255;2;162;155;River Urskoy #2;x
2256;44;165;28;River Urskoy #3;x
2257;86;168;156;River Talabec #2;x
2258;128;171;29;River Talabec #3;x
2259;170;174;157;River Tobol;x
2260;2;177;30;River Tobol #2;x
2261;44;180;158;River Tobol #3;x
2262;86;183;31;River Tobol #4;x
2263;128;186;159;River Tolsol;x
2264;170;189;32;River Dypvann;x
2265;2;192;160;River Brienne;x
2266;44;195;33;River Tarmos;x
2267;86;198;161;River Guadariz;x
2268;128;201;34;River Starnek;x
2269;170;204;162;River Starnek #2;x
2270;2;207;35;River Starnek #3;x
2271;44;210;163;River Stir #7;x
2272;86;0;36;Halkild;x
2273;128;3;164;Iisgalt;x
2274;170;6;37;Ursfjord;x
2275;2;9;165;River Talabec #6;x
2276;44;12;38;River Grismerie #6;x
2277;86;15;166;River Sannez #5;x
2278;128;18;39;River Sannez;x
2279;170;21;167;River Morceaux;x
2280;2;24;40;River Brienne #2;x
2281;44;27;168;River Lynsk #5;x
2282;86;30;41;Azurem;x
2299;169;96;202;Mountains of Madness;x
2300;44;84;8;Massif Oreal;x
2301;0;229;25;Pale Sisters;x
2302;84;0;26;Middle Mountains;x
2303;126;48;34;Goromadny Mountains;x
2304;84;45;161;Apucinni Mountains;x
2306;126;105;79;Vanaheim Mountains;x
2307;42;99;78;Helspire Mountains;x
2308;168;93;77;Frostheim Mountains;x
2309;126;90;204;Mountains of Thjazi;x
2310;0;204;67;Khuuitan Shelf;x
2311;85;99;141;Ice Tooth Mountains;x
2312;127;102;14;Mountains of Naglfari;x
2313;169;105;142;Athel Loren;x
2314;1;108;15;Ulfwerenar Mountains;x
2315;43;111;143;Trollheim Mountains;x
2316;85;114;16;Skadi Mountains;x
2317;127;117;144;Mountains of Hel;x
2318;169;120;17;Gianthome Mountains;x
2319;1;123;147;Grey Mountains;x
2320;43;126;18;Abasko Mountains;x
2321;85;129;146;The Vaults;x
2322;127;132;19;Black Mountains;x
2324;1;138;20;Crater of Zharr;x
2325;43;141;148;Icewind Mountains;x
2326;85;144;21;Azgorh;x
2327;127;147;149;Beast Peaks;x
2328;169;150;22;Stormrim;x
2329;1;153;150;Chaos Wastes;x
2330;203;149;58;Bylorhof Marsh;x
2331;85;159;151;Blighted Marshes;x
2332;127;162;24;World's Edge Mountains;x
2333;169;165;152;Irrana Mountains;x
2335;43;171;153;Cold Mire;x
2336;169;3;222;The Frostbites;x
2337;127;177;154;Mountains of Mourn;x
2338;169;180;27;Plateau of K'Datha;x
2339;1;183;155;Pillars of the Gods;x
2340;43;186;28;Plateau of Zorn Uzkul;x
2341;85;189;156;Jagged Spine;x
2342;127;192;29;Gnoblar Country;x
2343;128;0;199;Crevice of Doom;x
2344;170;3;72;Scalding Delta;x
2347;167;185;21;World's Edge Mountains #2;x
2353;128;30;204;Tal Driacha;x
2354;170;33;77;Delliandra;x
2355;2;36;205;Tirsyth;x
2356;44;39;78;Tal Silvoch;x
2357;86;42;206;Alarin;x
2358;170;198;132;Beithir Seun;x
2359;170;48;207;Ystin Lileath;x
2360;2;51;80;Tal Esth;x
2361;2;201;5;Sumnos;x
2362;44;204;133;Naiados;x
2363;44;54;208;Locrimere;x
2364;86;207;6;Tal Fyr Eternos;x
2365;128;45;79;Tal Enda Varian;x
2366;86;57;81;Tal Varigan;x
2367;128;60;209;Cader Donam;x
2368;170;63;82;Eomain Tarn;x
2369;2;66;210;Tal Jul-finel;x
2370;44;69;83;Findol;x
2371;128;210;134;Sceolath-mar;x
2372;170;0;7;Sylamel;x
2373;86;72;211;Cullodinen;x
2374;128;75;84;Tyr Vanna;x
2375;170;78;212;Tyr Edrell;x
2376;2;81;85;Druthandor;x
2377;44;84;213;Tal Cullon;x
2378;86;87;86;Yn Edryl Koiran;x
2379;128;90;214;Drune Fell;x
2380;170;93;87;Tal Eth Ayr;x
2381;2;96;215;Cerura Carn;x
2382;44;99;88;Yn Edri Eternos;x
2383;86;102;216;Tal Merion;x
2384;128;105;89;Tal Govorn;x
2385;170;108;217;Tal Drost;x
2386;2;111;90;Tal Amere;x
2387;44;114;218;Coeth-mara;x
2388;86;117;91;Tal Mora;x
2389;128;120;219;Inverin;x
2390;170;123;92;Tal Amara;x
2391;2;126;93;Equos;x
2392;44;129;93;Yn Cavaroc;x
2393;86;132;221;Cromarc;x
2394;128;135;94;Tal Stornos;x
2395;170;138;222;Talrennic;x
2396;2;141;95;Ystin Drakira;x
2397;44;144;223;Edryl Modr;x
2398;86;147;96;Threllock;x
2399;128;150;224;Ystin Eldrazor;x
2400;170;153;97;Festalym;x
2401;2;156;225;Tal Rond;x
2402;44;159;98;Addaivoch;x
2403;86;162;226;Tal Valerin;x
2404;128;165;99;Tal Hakan;x
2405;170;168;227;Anaereth;x
2406;2;171;0;Tal Brianda;x
2407;44;174;128;Ystin Morai-Heg;x
2408;86;177;1;Ithorien;x
2409;128;180;129;Cromlech Cadai;x
2410;170;183;2;Myrga;x
2411;2;186;130;Tal Dovar;x
2412;44;189;3;Ystin Vaul;x
2413;86;192;131;Callach-mor;x
2414;128;195;4;Durthu;x
